method,seed,cond_gender_auc,cond_age_r2,tstr_node_gender_auc,tstr_node_age_r2,n_params,seconds,best_epoch,best_val,test_loss,test_loss_num,test_loss_cat,ks_age,tv_gender,tv_occupation,tv_zip_region,marginal_score,assoc_error,tstr_table_auc,cond_occ_acc,hom_gender_gap,hom_age_gap,dcr_ratio,exact_match,exact_match_real_test,node_gap_gender_agree,node_gap_age_mae
marginal_bootstrap,1003,0.5294117647058822,0.01187961001173199,0.4209558823529411,-0.024140607485787058,0.0,0.0,,,,,,0.03442796610169491,0.0015889830508474256,0.10129766949152541,0.0971927966101695,0.05862685381355931,0.19365816128087257,0.48678221288515405,0.1483050847457627,0.003389830508474523,0.17714895594390373,1.2039787798408488,0.08898305084745763,0.13983050847457626,0.00044997750112485413,-0.2729788510574469
row_bootstrap,1003,0.45881477591036424,-0.058776592214714984,0.5137429971988796,-0.08472942280741513,0.0,0.0,,,,,,0.0401218220338983,0.0045021186440677985,0.10540254237288134,0.1015625,0.06289724576271186,0.0763566039585405,0.6580882352941176,0.16101694915254236,0.005508474576271238,0.1957164505826816,0.0,1.0,0.13983050847457626,0.02512374381280935,0.7122543872806357
diff_uncond,1003,0.4315038515406162,-0.03577714219361816,0.5040266106442577,-0.07695718502925053,233123.0,16.7,110.0,0.5037973821163177,0.504703976213932,0.4857090637087822,0.018994922284036875,0.05958686440677963,0.00807733050847459,0.09838453389830508,0.12658898305084745,0.0731594279661017,0.08405008657029818,0.5772058823529411,0.2033898305084746,0.038559322033898336,0.1829124433558471,0.8607427055702919,0.1228813559322034,0.13983050847457626,0.025551222438878085,-0.04520023998800049
diff_flat,1003,0.4437149859943978,0.2192462310086638,0.49798669467787116,0.16522932379776833,241987.0,13.0,20.0,0.504265196621418,0.4780893921852112,0.45912397652864456,0.018965421244502068,0.05627648305084748,0.03998940677966101,0.0969279661016949,0.10527012711864406,0.07461599576271186,0.11560717582326833,0.571953781512605,0.15254237288135594,0.07288135593220346,0.1384753947798771,0.9949602122015915,0.11440677966101695,0.13983050847457626,0.043572821358932035,0.13169341532923262
diff_gnn,1003,0.41907387955182074,0.12069478606064432,0.5043767507002801,0.05460606477798702,255683.0,52.5,50.0,0.5027972385287285,0.47299881279468536,0.4539392217993736,0.019059596117585897,0.11573093220338987,0.0027807203389830226,0.1532044491525424,0.09997351694915253,0.09292240466101695,0.10744456154614611,0.5528711484593838,0.1694915254237288,0.030932203389830493,0.13321557218765206,0.9403183023872679,0.11016949152542373,0.13983050847457626,0.014234288285585817,0.6150592470376477
diff_gnn_shuffled,1003,0.4332983193277311,-0.042407550101041025,0.49702380952380953,-0.035713468518919766,255683.0,84.6,135.0,0.5073129832744598,0.5035297721624374,0.48464392125606537,0.018885858356952667,0.0703125,0.007944915254237322,0.11533368644067796,0.09043961864406781,0.07100768008474577,0.09923685683501006,0.6355042016806722,0.16101694915254236,0.016525423728813604,0.16736082496178517,0.8387267904509285,0.15254237288135594,0.13983050847457626,0.01353682315884197,0.2491525423728813
diff_gnn_knn,1003,0.4206495098039215,0.11959087580091632,0.5073529411764706,0.09055305412899362,243779.0,16.5,10.0,0.5123575180768967,0.5032989233732224,0.484040230512619,0.01925869844853878,0.08990995762711873,0.009931144067796605,0.1306938559322034,0.1297669491525424,0.09007547669491528,0.12582318552443997,0.5934873949579832,0.1694915254237288,0.051694915254237306,0.12479186757521339,0.9962864721485413,0.1271186440677966,0.13983050847457626,0.026946152692365444,0.07462876856157052
probe_real_labels,1004,0.6867121848739495,0.18880485149960757,0.6867121848739495,0.18880485149960757,,,,,,,,,,,,,,,,,,,,,,
marginal_bootstrap,1004,0.4761904761904763,-0.03925082131810087,0.4018732492997199,-0.006082105044219466,0.0,0.0,,,,,,0.052701271186440676,0.0009269067796610075,0.15161546610169488,0.10182733050847458,0.07676774364406778,0.215889802314476,0.422531512605042,0.15677966101694915,0.045762711864406724,0.2838032081341886,1.3599120153973052,0.0423728813559322,0.13983050847457626,-0.02293385330733455,0.7914354282285885
row_bootstrap,1004,0.5472689075630253,-0.012718808541083426,0.4676995798319328,-0.08754508522555327,0.0,0.0,,,,,,0.060778601694915224,0.0007944915254237406,0.16234110169491525,0.11679025423728812,0.08517611228813558,0.10667884074960794,0.6825105042016807,0.13559322033898305,0.007627118644067843,0.3108103182535676,0.0,1.0,0.13983050847457626,-0.047930103494825294,-0.09999999999999964
